date,stkcd,close,stkname,predictVal
20180808,17,4.179999828338623,深中华A,0.7238063140743034
20180808,683,3.2200000286102295,远兴能源,0.6725827500911138
20180808,712,8.229999542236328,锦龙股份,0.6652824452928474
20180808,768,14.239999771118164,中航飞机,0.6674659518745331
20180808,790,5.360000133514404,泰合健康,0.6707858938580226
20180808,792,8.119999885559082,盐湖股份,0.7446247959673928
20180808,885,12.300000190734863,同力水泥,0.6963297698109292
20180808,985,15.65999984741211,大庆华科,0.6707363473279908
20180808,2006,7.570000171661377,精功科技,0.8075443353557253
20180808,2129,7.300000190734863,中环股份,0.7134627441356087
20180808,2209,7.099999904632568,达意隆,0.6868572235049709
20180808,2234,11.960000038146973,民和股份,0.6637609399012926
20180808,2236,15.329999923706055,大华股份,0.6721265559542386
20180808,2243,7.739999771118164,通产丽星,0.6754491511102609
20180808,2353,18.56999969482422,杰瑞股份,0.7140708304026545
20180808,2433,5.920000076293945,太安堂,0.6689376443814359
20180808,2460,31.25,赣锋锂业,0.6971770231097423
20180808,2507,25.549999237060547,涪陵榨菜,0.6921786403478016
20180808,2544,11.020000457763672,杰赛科技,0.6723192621608134
20180808,2580,5.300000190734863,圣阳股份,0.6882577039297902
20180808,2614,16.309999465942383,奥佳华,0.7267191157934128
20180808,2727,25.940000534057617,一心堂,0.6702816656666164
20180808,300469,20.040000915527344,信息发展,0.7533924048036739
20180808,600132,26.100000381469727,重庆啤酒,0.6740168842073777
20180808,600260,20.260000228881836,凯乐科技,0.6689766087463734
20180808,600267,10.479999542236328,海正药业,0.7119928157692242
20180808,600345,23.049999237060547,长江通信,0.6975510293087825
20180808,601958,6.289999961853027,金钼股份,0.664977344146014
20180808,2787,9.600000381469727,华源控股,0.7000401196968875
20180808,603027,17.709999084472656,千禾味业,0.6720519032510809
20180808,2795,16.010000228881836,永和智控,0.7254178278980018
20180808,2799,13.489999771118164,环球印务,0.6689807014249242
20180808,300527,7.110000133514404,中国应急,0.7268400393463362
20180808,300560,17.700000762939453,中富通,0.6775662759117896
20180808,300568,32.400001525878906,星源材质,0.733649899214849
20180808,603900,14.949999809265137,莱绅通灵,0.7128196543240605
20180808,300588,10.039999961853027,熙菱信息,0.671478804385041
20180808,2887,19.3799991607666,绿茵生态,0.6770482572064167
20180808,300686,14.619999885559082,智动力,0.7324884489263406
20180808,2890,20.420000076293945,弘宇股份,0.6694274120372367
20180808,300692,16.829999923706055,中环环保,0.6714025193614016
20180808,603180,62.25,金牌厨柜,0.6791472758914511
20180808,603127,45.97999954223633,昭衍新药,0.6911129476766477
20180808,2896,33.27000045776367,中大力德,0.6679615460523393
20180808,2905,15.949999809265137,金逸影视,0.6686689497010606
20180808,603260,55.880001068115234,合盛硅业,0.7392154295968772
20180808,300711,16.809999465942383,广哈通信,0.6845537905949941
20180808,603937,14.779999732971191,丽岛新材,0.6805556388665897
20180808,300731,30.700000762939453,科创新源,0.6722575906498609
20180808,603895,28.600000381469727,天永智能,0.6784095904836178
