stkcd,close,swName1,swName2,swName3,predictVal,buyDate,ret,flag,date
2,22.8,房地产,房地产开发,房地产开发,0.6405560808026737,20180703,0.013852813852813783,0.0,20180703
18,3.3200000000000003,建筑装饰,装修装饰,装修装饰,0.6203764757544239,20180703,0.03625377643504546,0.0,20180703
537,9.25,房地产,房地产开发,房地产开发,0.6734762726767775,20180703,-0.007454739084132078,0.0,20180703
661,230.0,医药生物,生物制品,生物制品,0.6644584822031262,20180703,-0.02801798685575918,0.0,20180703
752,8.14,食品饮料,饮料制造,啤酒,0.6128381378486109,20180703,0.00846432889963733,0.0,20180703
790,7.82,医药生物,中药,中药,0.6744322990031525,20180703,0.010101010101010166,0.0,20180703
2096,6.74,化工,化学制品,民爆用品,0.7042823868258935,20180703,0.01734104046242768,0.0,20180703
2278,7.19,机械设备,专用设备,冶金矿采化工设备,0.6999880774173951,20180703,-0.0013831258644537714,0.0,20180703
2415,36.4,电子,电子制造,电子系统组装,0.6303629864104212,20180703,-0.026098901098901006,0.0,20180703
2458,17.88,农林牧渔,畜禽养殖,畜禽养殖,0.6506877398081975,20180703,-0.007072905331882429,0.0,20180703
2517,6.91,传媒,互联网传媒,移动互联网服务,0.6644154754207748,20180703,0.020202020202020332,0.0,20180703
2693,6.38,医药生物,生物制品,生物制品,0.6392538061187392,20180703,0.014106583072100332,0.0,20180703
300012,6.0,综合,综合,综合,0.6255016891870218,20180703,0.0,0.0,20180703
300069,11.88,电气设备,高低压设备,线缆部件及其他,0.6602721877505076,20180703,0.025252525252525082,0.0,20180703
300177,14.2,计算机,计算机设备,计算机设备,0.7020054992855271,20180703,0.02269503546099294,0.0,20180703
300256,4.03,电子,电子制造,电子零部件制造,0.6171036445311772,20180703,0.02487562189054726,0.0,20180703
300260,17.54,机械设备,通用机械,机械基础件,0.6505667417702695,20180703,0.021739130434782483,0.0,20180703
600004,12.8,交通运输,机场,机场,0.6204108995829759,20180703,0.029230769230769393,0.0,20180703
600048,11.01,房地产,房地产开发,房地产开发,0.7342186667707674,20180703,0.0072267389340561206,0.0,20180703
600176,9.85,化工,化学制品,玻纤,0.6221539495405716,20180703,-0.018292682926829285,0.0,20180703
600311,2.94,有色金属,黄金,黄金,0.6301722600806066,20180703,0.01718213058419238,0.0,20180703
