stkcd,close,swName1,swName2,swName3,predictVal,buyDate,ret,flag,date
498,3.7,建筑装饰,基础建设,路桥施工,0.6761469790070621,20180713,0.018716577540106805,0.0,20180713
587,3.43,轻工制造,家用轻工,珠宝首饰,0.6693324529123333,20180713,-0.0029325513196482023,0.0,20180713
2021,2.5,机械设备,专用设备,纺织服装设备,0.6967948964934837,20180713,0.0,0.0,20180713
2054,4.83,化工,化学制品,纺织化学用品,0.6788799483753432,20180713,0.004106776180698102,0.0,20180713
2114,7.98,有色金属,工业金属,铅锌,0.6857953465981872,20180713,0.026415094339622636,0.0,20180713
2148,6.0,传媒,互联网传媒,移动互联网服务,0.6732378626363233,20180713,-0.02796052631578949,0.0,20180713
2247,7.44,传媒,互联网传媒,移动互联网服务,0.7054670714126943,20180713,-0.0013140604467805073,0.0,20180713
2418,3.88,家用电器,白色家电,家电零部件,0.6840781245484614,20180713,0.002538071065989911,0.0,20180713
2609,7.76,计算机,计算机应用,IT服务,0.6778404787136522,20180713,0.017948717948718107,0.0,20180713
300008,4.07,国防军工,船舶制造,船舶制造,0.6769757553716433,20180713,-0.08029197080291972,0.0,20180713
300023,5.82,非银金融,多元金融,多元金融,0.7665611039355633,20180713,-0.0068259385665528916,0.0,20180713
300069,12.0,电气设备,高低压设备,线缆部件及其他,0.7556797904293405,20180713,-0.014084507042253502,0.0,20180713
300116,2.26,电子,其他电子,其他电子,0.7215754565975091,20180713,-0.030172413793103425,0.0,20180713
300149,16.0,农林牧渔,农产品加工,其他农产品加工,0.6917205342347594,20180713,0.04539800995024845,0.0,20180713
300156,5.86,公用事业,环保工程及服务,环保工程及服务,0.7228959312588735,20180713,-0.0167504187604689,0.0,20180713
300183,15.37,电子,半导体,集成电路,0.6764157530877566,20180713,-0.03659347970725224,0.0,20180713
300228,5.5,机械设备,金属制品,金属制品,0.7092687981131656,20180713,-0.0055658627087197265,0.0,20180713
300330,9.1,计算机,计算机应用,IT服务,0.6894647470305657,20180713,-0.004371584699453646,0.0,20180713
300331,13.83,电子,光学光电子,显示器件,0.6712090284739409,20180713,-0.0028818443804035088,0.0,20180713
300404,20.75,医药生物,医疗服务,医疗服务,0.705053118382053,20180713,0.03170731707317076,0.0,20180713
300465,8.23,计算机,计算机应用,软件开发,0.6701991342003641,20180713,-0.022274325908557935,0.0,20180713
600112,3.0700000000000003,电气设备,高低压设备,中压设备,0.6705242547285363,20180713,0.006557377049180246,0.0,20180713
600319,5.0,化工,化学制品,其他化学制品,0.7818048542182311,20180713,-0.026000000000000023,0.0,20180713
600571,7.52,计算机,计算机应用,IT服务,0.6702403924984859,20180713,0.0013315579227697327,0.0,20180713
600638,9.56,房地产,房地产开发,房地产开发,0.7345761058037092,20180713,-0.0021276595744680327,0.0,20180713
603009,7.83,汽车,汽车零部件,汽车零部件,0.6932232347101183,20180713,-0.013801756587201952,0.0,20180713
603168,8.8,医药生物,化学制药,化学制剂,0.6873294549129111,20180713,0.015819209039548143,0.0,20180713
603519,7.76,家用电器,白色家电,家电零部件,0.7509737955067942,20180713,-0.006369426751592466,0.0,20180713
603936,18.0,电子,元件,印制电路板,0.675197511070364,20180713,0.002777777777777768,0.0,20180713
603996,11.0,家用电器,视听器材,彩电,0.6700737012665096,20180713,-0.013824884792626557,0.0,20180713
300549,17.85,机械设备,专用设备,其它专用机械,0.6770560329102354,20180713,-0.009675583380762576,0.0,20180713
300572,47.5,机械设备,仪器仪表,仪器仪表,0.6779405240791858,20180713,0.03166666666666673,0.0,20180713
2846,12.39,轻工制造,包装印刷,包装印刷,0.6711436265267262,20180713,-0.007269789983844865,0.0,20180713
2855,10.07,电子,电子制造,电子零部件制造,0.7029031738582229,20180713,-0.015000000000000013,0.0,20180713
2865,19.1,汽车,汽车零部件,汽车零部件,0.7105731261715795,20180713,0.014188124014713477,0.0,20180713
2876,43.49,电子,光学光电子,显示器件,0.6722562793792348,20180713,0.0020925366193909056,0.0,20180713
2887,25.58,建筑装饰,园林工程,园林工程,0.6758143476957278,20180713,0.0023923444976075015,0.0,20180713
300677,26.7,医药生物,医疗器械,医疗器械,0.6689341397710099,20180713,-0.009375000000000022,0.0,20180713
2892,29.94,电气设备,电机,电机,0.6730345934883069,20180713,-0.006677796327211993,0.0,20180713
300696,33.74,国防军工,航空装备,航空装备,0.6718975435289001,20180713,-0.02975839717147899,0.0,20180713
603180,91.07,轻工制造,家用轻工,家具,0.6739515336638402,20180713,0.0679771579178563,0.0,20180713
603232,27.28,计算机,计算机应用,软件开发,0.6851014519109333,20180713,-0.003278688524590123,0.0,20180713
603803,13.09,通信,通信设备,通信传输设备,0.6805091232863626,20180713,-0.010662604722010749,0.0,20180713
603903,28.29,公用事业,水务,水务,0.6694937059299317,20180713,0.03428571428571425,0.0,20180713
603536,9.72,食品饮料,食品加工,食品综合,0.6685611984369756,20180713,-0.013197969543147114,0.0,20180713
603879,11.98,化工,化学制品,其他化学制品,0.6857188342080264,20180713,0.012605042016806678,0.0,20180713
603776,36.48,汽车,其他交运设备,其他交运设备,0.6704570610571764,20180713,-0.025150355385456402,0.0,20180713
603365,22.31,纺织服装,服装家纺,家纺,0.6802852792646038,20180713,0.019205002233139812,0.0,20180713
2917,33.04,化工,化学制品,民爆用品,0.6684792572814234,20180713,-0.018731117824773325,0.0,20180713
603506,31.66,房地产,房地产开发,房地产开发,0.6723359774066772,20180713,0.004307692307692346,0.0,20180713
23,12.48,建筑材料,其他建材,其他建材,0.6279755053455752,20180712,0.0015710919088767206,0.0,20180713
63,12.1,通信,通信设备,通信传输设备,0.650439467924408,20180712,0.059353869271224546,0.0,20180713
659,2.11,轻工制造,包装印刷,包装印刷,0.6351628234646893,20180712,0.04147465437788034,0.0,20180713
738,14.43,国防军工,航空装备,航空装备,0.6315931006352197,20180712,-0.023458445040214437,0.0,20180713
791,5.0600000000000005,公用事业,电力,水电,0.6290493192066758,20180712,-0.023622047244094557,0.0,20180713
2087,3.65,纺织服装,纺织制造,棉纺,0.6300181532744558,20180712,-0.0026881720430108613,0.0,20180713
2193,10.9,纺织服装,纺织制造,毛纺,0.6599975566376228,20180712,-0.0050890585241730735,0.0,20180713
2481,3.52,食品饮料,食品加工,食品综合,0.6455149379783195,20180712,0.027700831024930705,0.0,20180713
300008,4.0,国防军工,船舶制造,船舶制造,0.6745637247240188,20180712,-0.07125307125307123,0.0,20180713
300069,11.55,电气设备,高低压设备,线缆部件及其他,0.6390367578465211,20180712,-0.008333333333333304,0.0,20180713
300093,6.91,建筑材料,玻璃制造,玻璃制造,0.6403295998780427,20180712,-0.004195804195804231,0.0,20180713
300101,13.71,国防军工,航天装备,航天装备,0.66001764129964,20180712,-0.026166902404526238,0.0,20180713
300116,2.16,电子,其他电子,其他电子,0.6540016449911987,20180712,-0.004424778761062065,0.0,20180713
300149,15.46,农林牧渔,农产品加工,其他农产品加工,0.6462092849946908,20180712,0.05062499999999992,0.0,20180713
300168,19.8,计算机,计算机应用,IT服务,0.6454055741228572,20180712,-0.017892644135188873,0.0,20180713
300330,8.76,计算机,计算机应用,IT服务,0.7093513207696688,20180712,0.001098901098901095,0.0,20180713
300339,10.93,计算机,计算机应用,IT服务,0.6656376653090637,20180712,0.006655574043261225,0.0,20180713
300348,22.35,计算机,计算机应用,软件开发,0.6699207745438233,20180712,-0.013642000826788014,0.0,20180713
600319,4.8100000000000005,化工,化学制品,其他化学制品,0.6262017597019162,20180712,-0.026000000000000023,0.0,20180713
600391,14.98,国防军工,航空装备,航空装备,0.6529678681980431,20180712,-0.016850291639663006,0.0,20180713
603699,10.28,机械设备,通用机械,机械基础件,0.6360065236585724,20180712,0.003809523809523929,0.0,20180713
603800,16.52,机械设备,专用设备,冶金矿采化工设备,0.6467908527370866,20180712,-0.0282112845138055,0.0,20180713
2795,22.94,建筑材料,其他建材,其他建材,0.6922071431786904,20180712,-0.037005163511187766,0.0,20180713
300515,9.94,机械设备,仪器仪表,仪器仪表,0.6302409634659681,20180712,-0.011483253588516873,0.0,20180713
300519,22.49,医药生物,中药,中药,0.6881178884556383,20180712,-0.011284722222222099,0.0,20180713
2828,16.740000000000002,采掘,采掘服务,油气钻采服务,0.633354745949478,20180712,-0.03462686567164164,0.0,20180713
300565,15.2,通信,通信设备,通信传输设备,0.626339452775062,20180712,-0.017274472168905985,0.0,20180713
300571,63.58,通信,通信运营,通信运营,0.6447876684278844,20180712,-0.01972415838647501,0.0,20180713
2848,12.33,家用电器,视听器材,其它视听器材,0.6674584573772863,20180712,-0.004739336492891044,0.0,20180713
2855,9.67,电子,电子制造,电子零部件制造,0.7042752081543797,20180712,-0.01696606786427146,0.0,20180713
2886,20.92,化工,塑料,改性塑料,0.6272393324055342,20180712,-0.010555300596603923,0.0,20180713
2879,16.14,电气设备,高低压设备,线缆部件及其他,0.7076802068851746,20180712,-0.01882210078931379,0.0,20180713
300692,21.85,公用事业,水务,水务,0.672030808570037,20180712,-0.02759526938239165,0.0,20180713
603165,21.34,轻工制造,造纸,造纸,0.6510460272885367,20180712,0.0054669703872438635,0.0,20180713
603320,20.95,电气设备,电机,电机,0.6267975782071962,20180712,-0.010732617825478297,0.0,20180713
603617,19.32,机械设备,通用机械,其它通用机械,0.6719321737482365,20180712,0.001010611419909102,0.0,20180713
603183,20.25,综合,综合,综合,0.6365562841525342,20180712,-0.015200368493781702,0.0,20180713
603500,13.5,机械设备,运输设备,铁路设备,0.7010065278635873,20180712,-0.011019283746556474,0.0,20180713
2897,21.65,通信,通信设备,通信传输设备,0.6442439280195841,20180712,0.09991603694374462,2.0,20180713
300702,24.93,医药生物,化学制药,化学制剂,0.6287668363312949,20180712,-0.032128514056224966,0.0,20180713
2908,40.38,通信,通信设备,终端设备,0.6568716952951771,20180712,-0.026656884323795427,0.0,20180713
603683,25.92,化工,化学制品,其他化学制品,0.6371319671174871,20180712,-0.02000755001887511,0.0,20180713
300712,18.87,建筑装饰,基础建设,其他基础建设,0.6572926181711845,20180712,-0.006113092205807358,0.0,20180713
603083,30.82,通信,通信设备,通信传输设备,0.6658852194426539,20180712,-0.016312711603570396,0.0,20180713
603809,19.65,汽车,汽车零部件,汽车零部件,0.6309138149856557,20180712,-0.009218825812712161,0.0,20180713
2918,22.19,建筑材料,其他建材,其他建材,0.6289775542209106,20180712,-0.007829491083079732,0.0,20180713
2921,40.9,汽车,汽车零部件,汽车零部件,0.6411930441647151,20180712,-0.04412121212121212,0.0,20180713
603080,31.44,公用事业,燃气,燃气,0.6270444051228233,20180712,-0.001847290640394128,0.0,20180713
