stkcd,close,swName1,swName2,swName3,predictVal,buyDate,ret,flag,date
503,30.77,医药生物,医疗服务,医疗服务,0.6827509712234655,20180625,-0.010932475884244397,0.0,20180625
567,14.92,房地产,房地产开发,房地产开发,0.6860418630841889,20180625,0.0,2.0,20180625
636,14.53,电子,元件,被动元件,0.6944702834606546,20180625,0.00612244897959191,0.0,20180625
2148,5.18,传媒,互联网传媒,移动互联网服务,0.6822369575681235,20180625,0.0019193857965451588,0.0,20180625
2235,6.19,轻工制造,造纸,造纸,0.6988748345147516,20180625,-0.022187004754358197,0.0,20180625
2320,16.51,交通运输,航运,航运,0.6989438797756045,20180625,0.00965600482800233,0.0,20180625
2333,15.98,建筑材料,其他建材,其他建材,0.6916067314864186,20180625,-0.017967781908302394,0.0,20180625
2368,24.48,计算机,计算机应用,IT服务,0.6829671351796375,20180625,-0.027375201288244777,0.0,20180625
2474,7.11,计算机,计算机应用,IT服务,0.6887979872621719,20180625,-0.015256588072121935,0.0,20180625
2488,10.96,汽车,汽车零部件,汽车零部件,0.686642952479958,20180625,-0.01352569882777277,0.0,20180625
2492,6.75,交通运输,物流,物流,0.7302642518511068,20180625,0.016296296296296253,0.0,20180625
2554,2.77,采掘,采掘服务,油气钻采服务,0.7054325130344554,20180625,0.0517241379310347,0.0,20180625
2581,10.44,医药生物,生物制品,生物制品,0.6862415843873062,20180625,-0.008547008547008517,0.0,20180625
2707,9.38,休闲服务,旅游综合,旅游综合,0.6795681056085774,20180625,-0.0378947368421052,0.0,20180625
2741,15.14,化工,化学制品,其他化学制品,0.7595374089287208,20180625,-0.014407334643090963,0.0,20180625
300031,12.89,传媒,互联网传媒,移动互联网服务,0.6866928119574018,20180625,-0.0023219814241485226,0.0,20180625
300046,10.76,电子,半导体,分立器件,0.6958098574105352,20180625,-0.01191567369385893,0.0,20180625
300069,11.49,电气设备,高低压设备,线缆部件及其他,0.7345370505838498,20180625,-0.0008576329331045907,0.0,20180625
300144,22.8,休闲服务,景点,人工景点,0.7367619332067312,20180625,-0.03282275711159732,0.0,20180625
300227,10.15,电子,电子制造,电子零部件制造,0.6771746890965391,20180625,-0.005905511811023723,0.0,20180625
300275,8.620000000000001,机械设备,专用设备,冶金矿采化工设备,0.6850405835830411,20180625,-0.008092485549133,0.0,20180625
300374,10.81,建筑材料,其他建材,耐火材料,0.6883505247297114,20180625,-0.0166204986149584,0.0,20180625
300397,11.68,国防军工,航空装备,航空装备,0.6796130394358669,20180625,-0.021922428330522714,0.0,20180625
300431,14.2,传媒,互联网传媒,互联网信息服务,0.6794385032811473,20180625,-0.019607843137254943,0.0,20180625
600136,12.22,传媒,文化传媒,影视动漫,0.7013101816026908,20180625,-0.02995951417004039,0.0,20180625
600525,10.51,电气设备,电气自动化设备,电网自动化,0.7068888949557531,20180625,-0.000945179584120992,0.0,20180625
600570,48.22,计算机,计算机应用,软件开发,0.6826408677280448,20180625,-0.01639344262295095,0.0,20180625
300493,10.88,电子,半导体,集成电路,0.7054258194401585,20180625,-0.01805054151624541,0.0,20180625
300496,26.99,计算机,计算机应用,IT服务,0.6865510040232303,20180625,-0.020955882352941213,0.0,20180625
300507,22.18,汽车,汽车零部件,汽车零部件,0.6758992409012141,20180625,0.007592675301473895,0.0,20180625
300531,13.46,通信,通信设备,终端设备,0.6973372707344196,20180625,-0.02093862815884473,0.0,20180625
2815,14.68,电子,元件,印制电路板,0.7337220412684587,20180625,0.0020311442112390665,0.0,20180625
300556,19.72,计算机,计算机应用,软件开发,0.694419741535001,20180625,-0.009533366783742947,0.0,20180625
603036,13.88,机械设备,专用设备,冶金矿采化工设备,0.7099837630349719,20180625,-0.020336605890603043,0.0,20180625
300588,15.22,计算机,计算机应用,软件开发,0.7297084731455773,20180625,0.0034246575342467,0.0,20180625
300618,113.41,有色金属,稀有金属,其他稀有小金属,0.7210043969202475,20180625,0.005363785794618936,0.0,20180625
300630,70.04,医药生物,化学制药,化学制剂,0.7190444097054491,20180625,-0.025383542538354398,0.0,20180625
300631,21.3,公用事业,环保工程及服务,环保工程及服务,0.6986390644564827,20180625,-0.029290617848970246,0.0,20180625
300639,18.94,医药生物,医疗器械,医疗器械,0.7249418122517022,20180625,-0.02733367715317181,0.0,20180625
2885,25.22,电子,其他电子,其他电子,0.9767559750677642,20180625,0.05431809300508017,0.0,20180625
300669,21.21,机械设备,专用设备,楼宇设备,0.691856269955658,20180625,-0.004997728305315752,0.0,20180625
603776,38.15,汽车,其他交运设备,其他交运设备,0.6785998023984099,20180625,0.024218749999999956,0.0,20180625
300705,21.86,医药生物,化学制药,化学制剂,0.7285878387393772,20180625,-0.027171492204899783,0.0,20180625
603499,27.26,轻工制造,包装印刷,包装印刷,0.6963422885418792,20180625,0.03903684786574235,0.0,20180625
603683,23.55,化工,化学制品,其他化学制品,0.9067764313265246,20180625,0.06314878892733566,0.0,20180625
300716,16.26,化工,塑料,改性塑料,0.6947917667220371,20180625,0.000606060606060721,0.0,20180625
2864,45.49,医药生物,中药,中药,0.7993385221110486,20180625,-0.011012740228892204,0.0,20180625
2912,84.16,计算机,计算机设备,计算机设备,0.7173573647412603,20180625,-0.02571090047393365,0.0,20180625
603080,32.230000000000004,公用事业,燃气,燃气,0.6833872823051895,20180625,-0.005201958384333016,0.0,20180625
2925,54.6,电子,电子制造,电子零部件制造,0.7459468111714529,20180625,-0.016657514186344535,0.0,20180625
2,27.73,房地产,房地产开发,房地产开发,0.7087618493369681,20180622,-0.05729537366548043,0.0,20180625
155,5.66,商业贸易,贸易,贸易,0.6685599727348123,20180622,-0.022222222222222365,0.0,20180625
503,30.17,医药生物,医疗服务,医疗服务,0.7675725022149891,20180622,-0.0003249918752030734,0.0,20180625
567,14.57,房地产,房地产开发,房地产开发,0.6870992890961979,20180622,0.09986595174262747,2.0,20180625
839,4.63,综合,综合,综合,0.6743418336175159,20180622,-0.006437768240343367,0.0,20180625
971,3.53,通信,通信设备,通信配套服务,0.6844351721219601,20180622,0.10051546391752586,2.0,20180625
2050,17.5,家用电器,白色家电,家电零部件,0.6836687974827245,20180622,0.012297372833985465,0.0,20180625
2499,10.66,机械设备,专用设备,环保设备,0.6825806683102487,20180622,-0.02946428571428572,0.0,20180625
2636,7.55,电子,元件,印制电路板,0.7213631933868652,20180622,-0.005174644243208237,0.0,20180625
2696,10.75,农林牧渔,渔业,水产养殖,0.6765553885901608,20180622,0.051709027169149824,0.0,20180625
2741,14.9,化工,化学制品,其他化学制品,0.7148396349010908,20180622,-0.005944517833553542,0.0,20180625
2771,13.74,计算机,计算机应用,IT服务,0.6943277838446533,20180622,0.002109704641350074,0.0,20180625
300081,10.22,通信,通信设备,通信配套服务,0.7106685790033058,20180622,0.0028169014084507005,0.0,20180625
300167,4.5,计算机,计算机应用,IT服务,0.6831612045156998,20180622,-0.014141414141414232,0.0,20180625
300235,9.68,计算机,计算机应用,软件开发,0.7447321782849368,20180622,-0.012195121951219412,0.0,20180625
300241,5.49,电子,光学光电子,LED,0.7021461637762234,20180622,-0.003395585738539819,0.0,20180625
300246,15.6,医药生物,医疗器械,医疗器械,0.6835881466745983,20180622,-0.012523481527864866,0.0,20180625
300306,8.93,机械设备,仪器仪表,仪器仪表,0.6840353852834982,20180622,-0.01196953210010876,0.0,20180625
300348,24.05,计算机,计算机应用,软件开发,0.6881927934546653,20180622,-0.028213166144200552,0.0,20180625
300355,5.69,建筑装饰,园林工程,园林工程,0.6797131740054564,20180622,0.0016920473773265332,0.0,20180625
300359,6.91,传媒,互联网传媒,移动互联网服务,0.6976682614242928,20180622,-0.01412429378531066,0.0,20180625
300374,10.29,建筑材料,其他建材,耐火材料,0.6777531299517892,20180622,-0.014801110083256241,0.0,20180625
300390,7.85,电子,其他电子,其他电子,0.8865690117599708,20180622,0.0012453300124535271,0.0,20180625
300396,18.52,医药生物,医疗器械,医疗器械,0.7439472211001149,20180622,-0.019553072625698387,0.0,20180625
300412,8.81,医药生物,医疗器械,医疗器械,0.7062809753001971,20180622,0.011086474501108778,0.0,20180625
300431,13.66,传媒,互联网传媒,互联网信息服务,0.6780787653852648,20180622,-0.014084507042253613,0.0,20180625
600107,5.72,纺织服装,服装家纺,其他服装,0.6900684765381166,20180622,0.0,0.0,20180625
600141,10.44,化工,化学制品,磷化工及磷酸盐,0.7001773833534135,20180622,0.01756007393715331,0.0,20180625
600207,6.58,综合,综合,综合,0.7183281123309693,20180622,-0.005979073243647215,0.0,20180625
600355,3.73,通信,通信设备,终端设备,0.7445531057314262,20180622,0.0395778364116095,0.0,20180625
600483,7.81,公用事业,电力,火电,0.6693248598997458,20180622,0.003926701570680535,0.0,20180625
600546,4.57,采掘,煤炭开采,煤炭开采,0.6821174071876231,20180622,-0.01535087719298256,0.0,20180625
600620,5.76,综合,综合,综合,0.674988300915733,20180622,0.013605442176870763,0.0,20180625
600645,20.31,医药生物,生物制品,生物制品,0.705109725024378,20180622,-0.021823472356934936,0.0,20180625
601007,10.7,休闲服务,酒店,酒店,0.6671424371738659,20180622,0.0009293680297397522,0.0,20180625
601155,34.01,房地产,房地产开发,房地产开发,0.7111093237066259,20180622,-0.06668599594085256,0.0,20180625
300612,23.27,传媒,营销传播,营销服务,0.6675079462730962,20180622,0.02317741255794359,0.0,20180625
300618,105.23,有色金属,稀有金属,其他稀有小金属,0.6799146183234246,20180622,0.024689180848249892,0.0,20180625
300662,19.47,休闲服务,其他休闲服务,其他休闲服务,0.6973820333118006,20180622,0.01248127808287558,0.0,20180625
300677,19.64,医药生物,医疗器械,医疗器械,0.668922135835251,20180622,0.0004918839153957855,0.0,20180625
603138,31.77,计算机,计算机应用,IT服务,0.6809871971267839,20180622,0.004608294930875667,0.0,20180625
603536,9.2,食品饮料,食品加工,食品综合,0.757665625821353,20180622,0.001054852320675037,0.0,20180625
2897,21.0,通信,通信设备,通信传输设备,0.7228476394468484,20180622,0.010091743119265972,0.0,20180625
300705,21.35,医药生物,化学制药,化学制剂,0.7378348516124135,20180622,-0.0009149130832570851,0.0,20180625
2906,18.73,汽车,汽车零部件,汽车零部件,0.7480081356392143,20180622,0.011943539630836053,0.0,20180625
603683,22.39,化工,化学制品,其他化学制品,0.6900764742485856,20180622,0.04373673036093417,0.0,20180625
300719,14.85,国防军工,航空装备,航空装备,0.7040916490519328,20180622,0.003986710963455042,0.0,20180625
300726,25.11,电子,元件,被动元件,0.6809320629569275,20180622,0.04324113751460845,0.0,20180625
300664,17.5,公用事业,水务,水务,0.7853180321687859,20180622,0.007812499999999778,0.0,20180625
2925,53.06,电子,电子制造,电子零部件制造,0.6905214126347601,20180622,-0.01611721611721617,0.0,20180625
