stkcd,close,swName1,swName2,swName3,predictVal,buyDate,ret,flag,date
555,12.09,计算机,计算机应用,IT服务,0.7242702423473117,20180705,0.010647010647010458,0.0,20180705
790,7.72,医药生物,中药,中药,0.6427733170815751,20180705,-0.01532567049808431,0.0,20180705
2211,6.3500000000000005,化工,化学制品,其他化学制品,0.6907600387249664,20180705,-0.05288461538461542,0.0,20180705
2234,11.54,农林牧渔,畜禽养殖,畜禽养殖,0.6473332178994032,20180705,-0.042241379310344884,0.0,20180705
2264,8.790000000000001,商业贸易,一般零售,超市,0.6579012849877149,20180705,-0.05028571428571427,0.0,20180705
2271,14.69,建筑材料,其他建材,其他建材,0.7356011432358585,20180705,0.017484868863483438,0.0,20180705
2418,4.21,家用电器,白色家电,家电零部件,0.6487647623104932,20180705,-0.028301886792452824,0.0,20180705
2458,17.56,农林牧渔,畜禽养殖,畜禽养殖,0.6218950736529986,20180705,-0.005061867266591635,0.0,20180705
2508,28.3,家用电器,白色家电,小家电,0.6313102070021887,20180705,-0.017192982456140316,0.0,20180705
2684,10.28,电子,其他电子,其他电子,0.675903237183422,20180705,-0.04766536964980528,0.0,20180705
300023,6.2,非银金融,多元金融,多元金融,0.6302653642426205,20180705,-0.022950819672131195,0.0,20180705
300062,5.1000000000000005,电气设备,高低压设备,中压设备,0.6602529860782469,20180705,0.08092485549132955,0.0,20180705
300074,4.01,计算机,计算机应用,软件开发,0.6575504127694275,20180705,0.007371007371007154,0.0,20180705
300097,18.27,机械设备,通用机械,其它通用机械,0.6219114635647701,20180705,-0.022838499184339445,0.0,20180705
300128,3.79,电子,光学光电子,显示器件,0.6354948031386682,20180705,0.06366047745358094,0.0,20180705
300138,6.5600000000000005,农林牧渔,农产品加工,其他农产品加工,0.7160783237266208,20180705,-0.0335365853658538,0.0,20180705
300166,14.46,计算机,计算机应用,IT服务,0.668869013770594,20180705,-0.013812154696132506,0.0,20180705
300216,5.34,医药生物,医疗器械,医疗器械,0.6892769127458104,20180705,-0.057943925233645,0.0,20180705
300242,7.12,传媒,营销传播,营销服务,0.6411827568211745,20180705,-0.0442225392296719,0.0,20180705
300269,6.38,传媒,营销传播,营销服务,0.6567227675897627,20180705,0.0,2.0,20180705
300333,9.63,计算机,计算机设备,计算机设备,0.6349961763605769,20180705,0.08193277310924385,0.0,20180705
300340,36.2,电子,其他电子,其他电子,0.628970038292912,20180705,-0.0011111111111110628,0.0,20180705
300384,38.5,计算机,计算机应用,IT服务,0.6744313204597925,20180705,0.07215189873417716,0.0,20180705
300425,4.5600000000000005,公用事业,环保工程及服务,环保工程及服务,0.6331437340483735,20180705,-0.019867549668874163,0.0,20180705
300458,17.64,电子,半导体,集成电路,0.6396170866400849,20180705,-0.007484168105929667,0.0,20180705
600048,10.83,房地产,房地产开发,房地产开发,0.6441938044101785,20180705,-0.011992619926199155,0.0,20180705
600250,6.98,商业贸易,贸易,贸易,0.6452888998836624,20180705,-0.05873925501432664,0.0,20180705
600887,26.29,食品饮料,食品加工,乳品,0.6282752339934675,20180705,-0.0030314513073133043,0.0,20180705
603198,17.330000000000002,食品饮料,饮料制造,白酒,0.6374744956423535,20180705,-0.016110471806674243,0.0,20180705
603818,10.66,轻工制造,家用轻工,家具,0.6219908530282839,20180705,-0.06255835667600373,0.0,20180705
603901,10.7,机械设备,专用设备,印刷包装机械,0.6862500340381184,20180705,-0.01717171717171717,0.0,20180705
300484,15.43,电气设备,电气自动化设备,工控自动化,0.6483048196841978,20180705,-0.02807486631016043,0.0,20180705
300567,78.0,机械设备,仪器仪表,仪器仪表,0.706751959661347,20180705,-0.015958815958815875,0.0,20180705
603900,18.79,商业贸易,专业零售,专业连锁,0.6383513858440689,20180705,-0.0084970791290494,0.0,20180705
2774,9.38,机械设备,专用设备,楼宇设备,0.6378220040836798,20180705,0.12173913043478257,0.0,20180705
2850,26.12,电子,电子制造,电子零部件制造,0.6327412895599286,20180705,-0.02115384615384619,0.0,20180705
2865,18.5,汽车,汽车零部件,汽车零部件,0.6307098594050575,20180705,-0.020430107526881902,0.0,20180705
300514,19.66,电气设备,电气自动化设备,计量仪表,0.6699998725686539,20180705,-0.05904255319148932,0.0,20180705
300605,23.38,计算机,计算机应用,软件开发,0.6370606111290964,20180705,0.0047826086956521685,0.0,20180705
300658,16.04,纺织服装,纺织制造,其他纺织,0.6233734392460755,20180705,-0.06654343807763397,0.0,20180705
300685,60.6,医药生物,生物制品,生物制品,0.6975586713647893,20180705,-0.031992084432717616,0.0,20180705
2892,29.24,电气设备,电机,电机,0.6482750528513579,20180705,-0.021138765768837442,0.0,20180705
603286,19.96,汽车,汽车零部件,汽车零部件,0.7434952969865629,20180705,-0.04846037354871269,0.0,20180705
603500,14.22,机械设备,运输设备,铁路设备,0.7097130001241891,20180705,-0.06573426573426577,0.0,20180705
300707,25.42,汽车,汽车零部件,汽车零部件,0.6559639510392684,20180705,0.029972752043596618,0.0,20180705
2907,29.92,医药生物,中药,中药,0.6234055629760809,20180705,-0.03150639973744662,0.0,20180705
603605,42.33,化工,化学制品,日用化学产品,0.6251196017812601,20180705,0.01622524457170127,0.0,20180705
